#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_Cu            v*n_Cu            mu_Cu            vth_Cu            v_Cu            n_Cu            sec.em.flux_Cu            EnergySrc_Cu            PartSrc_Cu            phi_Cu+           v*n_Cu+           mu_Cu+           vth_Cu+           v_Cu+           n_Cu+           sec.em.flux_Cu+           EnergySrc_Cu+           PartSrc_Cu+           
(32,33)	1440          0.62          -21.96        1.407E+006    7.349E+005    2.72E-008     5.971E-019    6.002E+015    2.482E+016    -13.18        1.055E+006    5.464E+005    4.543E+010    0             0.02045       1.882E+016    1.128E+016    1.128E+016    0.1647        2308          1391          8.11E+012     2.256E+015    0             0             6.368E+013    6.368E+013    0             577.2         8.926         7.134E+012    0             0             1.128E+014    4.655E+007    4.655E+007    0.3472        584.3         792.1         5.877E+004    4.655E+006    0             0             
(33,33)	1562          0.6735        -21.87        1.421E+006    7.448E+005    2.884E-008    6.096E-019    6.025E+015    2.612E+016    -13.12        1.066E+006    5.535E+005    4.719E+010    0             0.02183       2.009E+016    1.202E+016    1.202E+016    0.1647        2309          1412          8.512E+012    2.403E+015    0             0             6.666E+013    6.666E+013    0             577.2         8.926         7.468E+012    0             0             1.2E+014      5.114E+007    5.114E+007    0.3472        585.5         835           6.124E+004    5.114E+006    0             0             
(34,33)	1731          0.748         -21.8         1.44E+006     7.576E+005    3.108E-008    6.256E-019    6.05E+015     2.788E+016    -13.08        1.08E+006     5.625E+005    4.956E+010    0             0.02372       2.183E+016    1.305E+016    1.305E+016    0.1644        2311          1440          9.064E+012    2.611E+015    0             0             7.086E+013    7.086E+013    0             577.2         8.926         7.939E+012    0             0             1.303E+014    5.782E+007    5.782E+007    0.3472        587.4         894.7         6.462E+004    5.782E+006    0             0             
(35,33)	1969          0.8528        -21.7         1.463E+006    7.743E+005    3.399E-008    6.462E-019    6.031E+015    3.014E+016    -13.02        1.097E+006    5.743E+005    5.248E+010    0             0.0262        2.411E+016    1.449E+016    1.449E+016    0.1633        2314          1479          9.798E+012    2.898E+015    0             0             7.669E+013    7.669E+013    0             577.2         8.926         8.592E+012    0             0             1.445E+014    6.777E+007    6.777E+007    0.3472        590.4         978.9         6.923E+004    6.777E+006    0             0             
(36,33)	2307          1.002         -21.56        1.494E+006    7.967E+005    3.808E-008    6.736E-019    5.85E+015     3.327E+016    -12.94        1.12E+006     5.901E+005    5.639E+010    0             0.02982       2.742E+016    1.66E+016     1.66E+016     0.1621        2319          1534          1.083E+013    3.321E+015    0             0             8.51E+013     8.51E+013     0             577.2         8.926         9.534E+012    0             0             1.654E+014    8.287E+007    8.287E+007    0.3472        595.2         1099          7.544E+004    8.287E+006    0             0             
(37,33)	2789          1.214         -21.43        1.531E+006    8.254E+005    4.358E-008    7.077E-019    5.355E+015    3.748E+016    -12.86        1.148E+006    6.101E+005    6.144E+010    0             0.03496       3.213E+016    1.976E+016    1.976E+016    0.1609        2328          1613          1.225E+013    3.952E+015    0             0             9.747E+013    9.747E+013    0             577.2         8.926         1.092E+013    0             0             1.966E+014    1.062E+008    1.062E+008    0.3472        603.3         1270          8.366E+004    1.062E+007    0             0             
(38,33)	3481          1.519         -21.31        1.572E+006    8.602E+005    5.057E-008    7.46E-019     4.301E+015    4.289E+016    -12.79        1.179E+006    6.341E+005    6.764E+010    0             0.04206       3.859E+016    2.445E+016    2.445E+016    0.1595        2342          1726          1.416E+013    4.89E+015     0             0             1.158E+014    1.158E+014    0             577.2         8.926         1.297E+013    0             0             2.429E+014    1.43E+008     1.43E+008     0.3472        617.4         1517          9.423E+004    1.43E+007     0             0             
(39,33)	4474          1.958         -21.2         1.612E+006    9.007E+005    5.816E-008    7.841E-019    2.506E+015    4.897E+016    -12.72        1.209E+006    6.613E+005    7.406E+010    0             0.05082       4.647E+016    3.106E+016    3.106E+016    0.1565        2367          1884          1.649E+013    6.211E+015    0             0             1.419E+014    1.419E+014    0             577.2         8.926         1.59E+013     0             0             3.083E+014    2.008E+008    2.008E+008    0.3472        642.2         1874          1.071E+005    2.008E+007    0             0             
(40,33)	5902          2.589         -21.13        1.646E+006    9.478E+005    6.55E-008     8.178E-019    -2.06E+014    5.536E+016    -12.68        1.235E+006    6.921E+005    7.999E+010    0             0.06109       5.557E+016    4.021E+016    4.021E+016    0.1524        2409          2104          1.911E+013    8.041E+015    0             0             1.786E+014    1.786E+014    0             577.2         8.926         2.001E+013    0             0             3.989E+014    2.911E+008    2.911E+008    0.3472        686.4         2392          1.217E+005    2.911E+007    0             0             
(41,33)	7952          3.495         -21.07        1.674E+006    1.005E+006    7.107E-008    8.459E-019    -3.74E+015    6.113E+016    -12.64        1.256E+006    7.283E+005    8.394E+010    0             0.07186       6.487E+016    5.218E+016    5.218E+016    0.1462        2480          2403          2.172E+013    1.044E+016    0             0             2.279E+014    2.279E+014    0             577.2         8.926         2.553E+013    0             0             5.177E+014    4.283E+008    4.283E+008    0.3472        763.9         3143          1.363E+005    4.283E+007    0             0             
(42,33)	1.089E+004    4.793         -21.03        1.699E+006    1.079E+006    7.404E-008    8.715E-019    -7.814E+015   6.574E+016    -12.62        1.274E+006    7.746E+005    8.488E+010    0             0.0823        7.356E+016    6.714E+016    6.714E+016    0.1379        2593          2799          2.399E+013    1.343E+016    0             0             2.915E+014    2.915E+014    0             577.2         8.926         3.265E+013    0             0             6.663E+014    6.33E+008     6.33E+008     0.3472        896           4228          1.497E+005    6.33E+007     0             0             
(43,33)	1.508E+004    6.645         -20.99        1.73E+006     1.182E+006    7.549E-008    9.037E-019    -1.208E+016   6.996E+016    -12.6         1.298E+006    8.388E+005    8.341E+010    0             0.09292       8.204E+016    8.595E+016    8.595E+016    0.1277        2766          3308          2.598E+013    1.719E+016    0             0             3.728E+014    3.728E+014    0             577.2         8.926         4.176E+013    0             0             8.525E+014    1.037E+009    1.037E+009    0.3472        1111          5791          1.791E+005    1.037E+008    0             0             
(44,33)	2.103E+004    9.272         -20.94        1.777E+006    1.329E+006    8.37E-008     9.528E-019    -1.809E+016   8.157E+016    -12.56        1.333E+006    9.305E+005    8.766E+010    0             0.1144        9.966E+016    1.206E+017    1.206E+017    0.1159        3011          3942          3.06E+013     2.412E+016    0             0             5.007E+014    5.007E+014    0             577.2         8.926         5.61E+013     0             0             1.187E+015    2.595E+009    2.595E+009    0.3472        1444          8022          3.235E+005    2.595E+008    0             0             
(45,33)	2.939E+004    12.95         -20.93        1.821E+006    1.526E+006    1.291E-007    1.001E-018    -4.042E+016   1.356E+017    -12.56        1.366E+006    1.052E+006    1.289E+011    0             0.2052        1.76E+017     2.478E+017    2.478E+017    0.1043        3357          4743          5.224E+013    4.955E+016    0             0             8.522E+014    8.522E+014    0             577.2         8.926         9.548E+013    0             0             2.394E+015    9.988E+009    9.988E+009    0.3472        1937          1.117E+004    8.942E+005    9.988E+008    0             0             
(46,33)	4.091E+004    18            -20.93        1.846E+006    1.779E+006    2.679E-007    1.029E-018    -1.269E+017   3.138E+017    -12.56        1.385E+006    1.206E+006    2.602E+011    0             0.5219        4.407E+017    7.072E+017    7.072E+017    0.09162       3773          5634          1.255E+014    1.414E+017    0             0             2.043E+015    2.043E+015    0             577.2         8.926         2.289E+014    0             0             6.792E+015    4.336E+010    4.336E+010    0.3472        2639          1.552E+004    2.793E+006    4.336E+009    0             0             
(47,33)	5.632E+004    24.71         -20.94        1.877E+006    2.118E+006    5.638E-007    1.063E-018    -3.781E+017   7.474E+017    -12.56        1.408E+006    1.411E+006    5.295E+011    0             1.352         1.126E+018    1.991E+018    1.991E+018    0.08039       4283          6669          2.986E+014    3.982E+017    0             0             5.518E+015    5.518E+015    0             577.2         8.926         6.183E+014    0             0             1.922E+016    1.8E+011      1.8E+011      0.3322        3440          2.043E+004    8.811E+006    1.8E+010      0             0             
(48,33)	7.625E+004    33.34         -20.96        1.927E+006    2.562E+006    1.026E-006    1.121E-018    -9.123E+017   1.535E+018    -12.58        1.446E+006    1.682E+006    9.13E+011     0             2.977         2.448E+018    4.653E+018    4.653E+018    0.07041       4862          7799          5.966E+014    9.306E+017    0             0             1.35E+016     1.35E+016     0             577.2         8.926         1.512E+015    0             0             4.532E+016    6.656E+011    6.656E+011    0.2868        4006          2.387E+004    2.788E+007    6.656E+010    0             0             
(49,33)	1.017E+005    44.35         -21.03        1.998E+006    3.138E+006    1.597E-006    1.205E-018    -1.808E+018   2.688E+018    -12.62        1.499E+006    2.033E+006    1.322E+012    0             5.522         4.496E+018    9.033E+018    9.033E+018    0.06129       5481          8975          1.006E+015    1.807E+018    0             0             2.814E+016    2.814E+016    0             577.2         8.926         3.152E+015    0             0             8.858E+016    2.075E+012    2.075E+012    0.2472        4595          2.745E+004    7.559E+007    2.075E+011    0             0             
(50,33)	1.361E+005    59.22         -21.19        2.088E+006    3.928E+006    2.231E-006    1.315E-018    -3.194E+018   4.254E+018    -12.71        1.566E+006    2.513E+006    1.692E+012    0             9.225         7.447E+018    1.567E+019    1.567E+019    0.05414       6315          1.053E+004    1.489E+015    3.135E+018    0             0             5.056E+016    5.056E+016    0             577.2         8.926         5.664E+015    0             0             1.545E+017    5.074E+012    5.074E+012    0.2136        5302          3.173E+004    1.599E+008    5.074E+011    0             0             
(51,33)	1.948E+005    84.74         -21.59        2.243E+006    5.327E+006    2.538E-006    1.518E-018    -4.671E+018   5.615E+018    -12.96        1.682E+006    3.364E+006    1.669E+012    0             12.85         1.029E+019    2.267E+019    2.267E+019    0.04516       7387          1.249E+004    1.815E+015    4.534E+018    0             0             7.221E+016    7.221E+016    0             577.2         8.926         8.09E+015     0             0             2.238E+017    8.521E+012    8.521E+012    0.1785        6329          3.794E+004    2.246E+008    8.521E+011    0             0             
(52,33)	3.956E+005    213.8         -24.65        3.006E+006    1.125E+007    1.715E-006    2.727E-018    -3.597E+018   4.391E+018    -14.79        2.255E+006    6.978E+006    6.293E+011    0             10.07         7.989E+018    1.858E+019    1.858E+019    0.03136       1.016E+004    1.748E+004    1.063E+015    3.717E+018    0             0             5.849E+016    5.849E+016    0             577.2         8.926         6.553E+015    0             0             1.831E+017    5.061E+012    5.061E+012    0.09267       6670          3.999E+004    1.266E+008    5.061E+011    0             0             
(53,33)	-2.342E+005   169.7         -27.7         5.98E+006     9.478E+006    3.093E-005    1.079E-017    1.757E+019    1.763E+019    -16.62        4.485E+006    6.135E+006    2.873E+012    0             0.07841       6.117E+016    1.546E+017    1.546E+017    0.04059       7927          1.347E+004    1.148E+013    3.093E+016    0             0             6.678E+015    6.678E+015    0             577.2         8.926         7.481E+014    0             0             1.531E+015    1.57E+010     1.57E+010     0.1515        6458          3.871E+004    4.057E+005    1.57E+009     0             0             
(54,33)	-4.193E+004   21.04         -26.07        3.438E+006    2.812E+006    4.375E-005    3.569E-018    2.392E+019    2.398E+019    -15.64        2.579E+006    1.945E+006    1.233E+013    0             0.06927       5.404E+016    1.359E+017    1.359E+017    0.09003       3790          5669          2.397E+013    2.718E+016    0             0             1.786E+015    1.786E+015    0             577.2         8.926         2.001E+014    0             0             1.355E+015    1.076E+010    1.076E+010    0.3472        2701          1.591E+004    6.764E+005    1.076E+009    0             0             
(55,33)	-4687         3.033         -22.14        2.398E+006    1.303E+006    5.365E-005    1.736E-018    2.986E+019    2.987E+019    -13.28        1.799E+006    9.615E+005    3.107E+013    0             0.01978       1.543E+016    3.85E+016     3.85E+016     0.1557        2373          1916          2.01E+013     7.701E+015    0             0             8.87E+014     8.87E+014     0             577.2         8.926         9.938E+013    0             0             3.878E+014    3.084E+009    3.084E+009    0.3472        648.2         1951          1.58E+006     3.084E+008    0             0             
(56,33)	5197          2.245         -21           1.964E+006    1.091E+006    4.341E-005    1.164E-018    2.914E+019    2.999E+019    -12.6         1.473E+006    8.018E+005    3.741E+013    0             0.9282        8.54E+017     5.11E+017     5.11E+017     0.1543        2387          1996          2.561E+014    1.022E+017    0             0             2.488E+015    2.488E+015    0             577.2         8.926         2.788E+014    0             0             5.136E+015    1.606E+011    1.606E+011    0.3472        663.4         2136          7.517E+007    1.606E+010    0             0             
