#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_Cu            v*n_Cu            mu_Cu            vth_Cu            v_Cu            n_Cu            sec.em.flux_Cu            EnergySrc_Cu            PartSrc_Cu            phi_Cu+           v*n_Cu+           mu_Cu+           vth_Cu+           v_Cu+           n_Cu+           sec.em.flux_Cu+           EnergySrc_Cu+           PartSrc_Cu+           
(22,33)	7.132E+005    293.4         -24.64        3.004E+006    1.908E+007    4.815E-005    2.724E-018    -1.908E+020   2.063E+020    -14.79        2.253E+006    1.167E+007    1.767E+013    0             504           3.97E+020     9.423E+020    9.423E+020    0.02384       1.376E+004    2.389E+004    3.945E+016    1.885E+020    0             0             1.391E+019    1.391E+019    0             577.2         8.926         1.559E+018    0             0             1.984E+019    6.021E+018    6.021E+018    0.05242       6802          4.079E+004    1.476E+014    6.021E+017    0             0             
(23,33)	7.223E+005    296.9         -24.69        3.014E+006    1.934E+007    4.932E-005    2.743E-018    -1.968E+020   2.128E+020    -14.82        2.261E+006    1.183E+007    1.798E+013    0             520           4.095E+020    9.724E+020    9.724E+020    0.02368       1.384E+004    2.402E+004    4.048E+016    1.945E+020    0             0             1.445E+019    1.445E+019    0             577.2         8.926         1.619E+018    0             0             2.071E+019    6.352E+018    6.352E+018    0.05165       6787          4.07E+004     1.561E+014    6.352E+017    0             0             
(24,33)	7.314E+005    300.4         -24.74        3.024E+006    1.961E+007    5.05E-005     2.761E-018    -2.028E+020   2.193E+020    -14.84        2.268E+006    1.199E+007    1.829E+013    0             536.1         4.222E+020    1.003E+021    1.003E+021    0.02351       1.391E+004    2.415E+004    4.153E+016    2.006E+020    0             0             1.501E+019    1.501E+019    0             577.2         8.926         1.682E+018    0             0             2.161E+019    6.696E+018    6.696E+018    0.05088       6771          4.06E+004     1.649E+014    6.696E+017    0             0             
(25,33)	7.406E+005    303.9         -24.78        3.035E+006    1.987E+007    5.176E-005    2.779E-018    -2.092E+020   2.262E+020    -14.87        2.276E+006    1.215E+007    1.862E+013    0             553           4.355E+020    1.035E+021    1.035E+021    0.02334       1.398E+004    2.428E+004    4.263E+016    2.07E+020     0             0             1.559E+019    1.559E+019    0             577.2         8.926         1.747E+018    0             0             2.256E+019    7.059E+018    7.059E+018    0.0501        6751          4.048E+004    1.744E+014    7.059E+017    0             0             
(26,33)	7.499E+005    307.4         -24.81        3.045E+006    2.013E+007    5.304E-005    2.798E-018    -2.158E+020   2.333E+020    -14.89        2.284E+006    1.231E+007    1.896E+013    0             570.3         4.491E+020    1.068E+021    1.068E+021    0.02317       1.405E+004    2.44E+004     4.375E+016    2.135E+020    0             0             1.619E+019    1.619E+019    0             577.2         8.926         1.814E+018    0             0             2.354E+019    7.437E+018    7.437E+018    0.04931       6728          4.035E+004    1.843E+014    7.437E+017    0             0             
(27,33)	7.591E+005    310.9         -24.85        3.055E+006    2.039E+007    5.433E-005    2.817E-018    -2.224E+020   2.404E+020    -14.91        2.291E+006    1.246E+007    1.929E+013    0             587.8         4.628E+020    1.101E+021    1.101E+021    0.023         1.412E+004    2.452E+004    4.489E+016    2.201E+020    0             0             1.68E+019     1.68E+019     0             577.2         8.926         1.882E+018    0             0             2.454E+019    7.824E+018    7.824E+018    0.04853       6704          4.02E+004     1.947E+014    7.824E+017    0             0             
(28,33)	7.683E+005    314.3         -24.89        3.065E+006    2.065E+007    5.563E-005    2.836E-018    -2.291E+020   2.476E+020    -14.93        2.299E+006    1.262E+007    1.962E+013    0             605.6         4.768E+020    1.134E+021    1.134E+021    0.02283       1.418E+004    2.463E+004    4.605E+016    2.268E+020    0             0             1.742E+019    1.742E+019    0             577.2         8.926         1.951E+018    0             0             2.557E+019    8.227E+018    8.227E+018    0.04776       6676          4.003E+004    2.055E+014    8.227E+017    0             0             
(29,33)	7.774E+005    317.7         -24.92        3.075E+006    2.091E+007    5.694E-005    2.854E-018    -2.359E+020   2.549E+020    -14.95        2.306E+006    1.278E+007    1.995E+013    0             623.5         4.908E+020    1.168E+021    1.168E+021    0.02266       1.424E+004    2.474E+004    4.722E+016    2.336E+020    0             0             1.804E+019    1.804E+019    0             577.2         8.926         2.021E+018    0             0             2.662E+019    8.638E+018    8.638E+018    0.04699       6647          3.985E+004    2.167E+014    8.638E+017    0             0             
(30,33)	7.863E+005    321.1         -24.96        3.085E+006    2.117E+007    5.823E-005    2.872E-018    -2.427E+020   2.622E+020    -14.98        2.314E+006    1.293E+007    2.027E+013    0             641.4         5.049E+020    1.202E+021    1.202E+021    0.0225        1.43E+004     2.484E+004    4.838E+016    2.404E+020    0             0             1.867E+019    1.867E+019    0             577.2         8.926         2.092E+018    0             0             2.769E+019    9.056E+018    9.056E+018    0.04623       6615          3.966E+004    2.283E+014    9.056E+017    0             0             
(31,33)	7.951E+005    324.3         -24.99        3.095E+006    2.142E+007    5.952E-005    2.89E-018     -2.494E+020   2.694E+020    -14.99        2.321E+006    1.308E+007    2.059E+013    0             659.2         5.188E+020    1.235E+021    1.235E+021    0.02234       1.436E+004    2.494E+004    4.954E+016    2.471E+020    0             0             1.93E+019     1.93E+019     0             577.2         8.926         2.163E+018    0             0             2.875E+019    9.478E+018    9.478E+018    0.04549       6582          3.946E+004    2.402E+014    9.478E+017    0             0             
(32,33)	8.039E+005    327.6         -25.02        3.104E+006    2.167E+007    6.085E-005    2.908E-018    -2.563E+020   2.769E+020    -15.01        2.328E+006    1.323E+007    2.092E+013    0             677.5         5.332E+020    1.27E+021     1.27E+021     0.02217       1.441E+004    2.503E+004    5.074E+016    2.54E+020     0             0             1.993E+019    1.993E+019    0             577.2         8.926         2.233E+018    0             0             2.983E+019    9.902E+018    9.902E+018    0.04475       6546          3.924E+004    2.523E+014    9.902E+017    0             0             
(33,33)	8.124E+005    330.7         -25.05        3.114E+006    2.191E+007    6.213E-005    2.926E-018    -2.631E+020   2.841E+020    -15.03        2.335E+006    1.338E+007    2.124E+013    0             695.3         5.472E+020    1.304E+021    1.304E+021    0.02202       1.446E+004    2.511E+004    5.191E+016    2.607E+020    0             0             2.055E+019    2.055E+019    0             577.2         8.926         2.302E+018    0             0             3.089E+019    1.032E+019    1.032E+019    0.04403       6509          3.902E+004    2.644E+014    1.032E+018    0             0             
(34,33)	8.205E+005    333.7         -25.08        3.122E+006    2.214E+007    6.337E-005    2.943E-018    -2.696E+020   2.911E+020    -15.05        2.342E+006    1.352E+007    2.153E+013    0             712.5         5.607E+020    1.336E+021    1.336E+021    0.02187       1.45E+004     2.519E+004    5.304E+016    2.672E+020    0             0             2.113E+019    2.113E+019    0             577.2         8.926         2.368E+018    0             0             3.191E+019    1.072E+019    1.072E+019    0.04334       6472          3.88E+004     2.763E+014    1.072E+018    0             0             
(35,33)	8.281E+005    336.6         -25.11        3.131E+006    2.236E+007    6.452E-005    2.958E-018    -2.757E+020   2.977E+020    -15.06        2.348E+006    1.365E+007    2.181E+013    0             728.7         5.734E+020    1.367E+021    1.367E+021    0.02173       1.454E+004    2.526E+004    5.411E+016    2.734E+020    0             0             2.168E+019    2.168E+019    0             577.2         8.926         2.429E+018    0             0             3.286E+019    1.11E+019     1.11E+019     0.0427        6435          3.858E+004    2.876E+014    1.11E+018     0             0             
(36,33)	8.35E+005     339.1         -25.13        3.138E+006    2.256E+007    6.559E-005    2.973E-018    -2.814E+020   3.038E+020    -15.08        2.354E+006    1.377E+007    2.206E+013    0             743.7         5.852E+020    1.395E+021    1.395E+021    0.02162       1.459E+004    2.535E+004    5.505E+016    2.791E+020    0             0             2.217E+019    2.217E+019    0             577.2         8.926         2.484E+018    0             0             3.374E+019    1.144E+019    1.144E+019    0.04221       6416          3.846E+004    2.974E+014    1.144E+018    0             0             
