#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_He2+          v*n_He2+          mu_He2+          vth_He2+          v_He2+          n_He2+          sec.em.flux_He2+          EnergySrc_He2+          PartSrc_He2+          phi_He*           v*n_He*           mu_He*           vth_He*           v_He*           n_He*           sec.em.flux_He*           EnergySrc_He*           PartSrc_He*           phi_e*            v*n_e*            mu_e*            vth_e*            v_e*            n_e*            sec.em.flux_e*            EnergySrc_e*            PartSrc_e*            
(16,36)	2.786E+005    10.47         -0.5429       1.752E+006    1.027E+006    0.0006274     9.261E-019    1.786E+020    5.068E+020    -0.3258       1.314E+006    7.476E+005    6.778E+014    0             354.4         3.281E+020    1.362E+020    1.362E+020    0.003834      1524          1830          7.444E+016    2.725E+019    0             0             6.388E+019    6.388E+019    0.008023      1505          2987          2.138E+016    1.278E+019    0             0             1.664E+018    1.664E+018    0             1263          631.6         2.634E+015    0             0             0             1.408E+019    1.408E+019    -0.3417       2.3E+006      1.245E+006    1.131E+013    1.408E+018    0             0             
(54,36)	3.512E+005    19.64         -0.5517       1.987E+006    1.187E+006    0.000771      1.192E-018    1.257E+020    5.588E+020    -0.331        1.491E+006    8.615E+005    6.486E+014    0             473.1         4.331E+020    2.193E+020    2.193E+020    0.003692      1633          2113          1.038E+017    4.385E+019    0             0             7.549E+019    7.549E+019    0.007886      1747          3644          2.072E+016    1.51E+019     0             0             4.128E+019    4.128E+019    0             1263          631.6         6.536E+016    0             0             0             2.862E+018    2.862E+018    -0.3417       2.3E+006      1.27E+006     2.253E+012    2.862E+017    0             0             
(16,37)	2.629E+005    9.882         -0.5437       1.739E+006    1.013E+006    0.0005426     9.13E-019     1.487E+020    4.391E+020    -0.3262       1.304E+006    7.38E+005     5.95E+014     0             313           2.904E+020    1.108E+020    1.108E+020    0.003866      1501          1767          6.273E+016    2.217E+019    0             0             6.044E+019    6.044E+019    0.008004      1449          2828          2.137E+016    1.209E+019    0             0             1.861E+018    1.861E+018    0             1263          631.6         2.947E+015    0             0             0             1.257E+019    1.257E+019    -0.3417       2.3E+006      1.24E+006     1.014E+013    1.257E+018    0             0             
(54,37)	3.589E+005    18.19         -0.5491       1.951E+006    1.172E+006    0.0006132     1.148E-018    1.005E+020    4.557E+020    -0.3295       1.463E+006    8.497E+005    5.363E+014    0             388.3         3.552E+020    1.727E+020    1.727E+020    0.003677      1645          2142          8.065E+016    3.455E+019    0             0             7.409E+019    7.409E+019    0.007858      1770          3705          2E+016        1.482E+019    0             0             3.491E+019    3.491E+019    0             1263          631.6         5.527E+016    0             0             0             2.961E+018    2.961E+018    -0.3417       2.3E+006      1.273E+006    2.327E+012    2.961E+017    0             0             
(16,38)	2.489E+005    9.359         -0.5444       1.729E+006    1E+006        0.0004673     9.022E-019    1.228E+020    3.785E+020    -0.3266       1.297E+006    7.297E+005    5.188E+014    0             275.1         2.557E+020    8.891E+019    8.891E+019    0.003895      1481          1710          5.198E+016    1.778E+019    0             0             5.707E+019    5.707E+019    0.007987      1400          2688          2.123E+016    1.141E+019    0             0             2.452E+018    2.452E+018    0             1263          631.6         3.883E+015    0             0             0             1.105E+019    1.105E+019    -0.3417       2.3E+006      1.235E+006    8.947E+012    1.105E+018    0             0             
(54,38)	3.623E+005    17.3          -0.548        1.934E+006    1.165E+006    0.0004758     1.129E-018    8.449E+019    3.583E+020    -0.3288       1.45E+006     8.443E+005    4.244E+014    0             299.3         2.738E+020    1.27E+020     1.27E+020     0.00367       1650          2155          5.893E+016    2.539E+019    0             0             6.55E+019     6.55E+019     0.007846      1781          3733          1.755E+016    1.31E+019     0             0             2.982E+019    2.982E+019    0             1263          631.6         4.721E+016    0             0             0             2.959E+018    2.959E+018    -0.3417       2.3E+006      1.274E+006    2.323E+012    2.959E+017    0             0             
(16,39)	2.358E+005    8.865         -0.5446       1.725E+006    9.908E+005    0.0004007     8.979E-019    1.021E+020    3.239E+020    -0.3268       1.294E+006    7.239E+005    4.474E+014    0             238.1         2.217E+020    6.894E+019    6.894E+019    0.003923      1463          1657          4.161E+016    1.379E+019    0             0             5.328E+019    5.328E+019    0.007971      1355          2557          2.084E+016    1.066E+019    0             0             3.522E+018    3.522E+018    0             1263          631.6         5.576E+015    0             0             0             9.576E+018    9.576E+018    -0.3417       2.3E+006      1.231E+006    7.782E+012    9.576E+017    0             0             
(54,39)	3.572E+005    16.81         -0.549        1.949E+006    1.171E+006    0.0003568     1.147E-018    7.924E+019    2.667E+020    -0.3294       1.462E+006    8.485E+005    3.143E+014    0             204.5         1.874E+020    8.22E+019     8.22E+019     0.003681      1642          2136          3.848E+016    1.644E+019    0             0             4.839E+019    4.839E+019    0.007866      1766          3692          1.31E+016     9.678E+018    0             0             2.622E+019    2.622E+019    0             1263          631.6         4.15E+016     0             0             0             2.894E+018    2.894E+018    -0.3417       2.3E+006      1.272E+006    2.275E+012    2.894E+017    0             0             
(16,40)	2.168E+005    8.151         -0.5431       1.749E+006    9.923E+005    0.0003177     9.234E-019    9.428E+019    2.517E+020    -0.3259       1.312E+006    7.265E+005    3.464E+014    0             168.1         1.574E+020    4.164E+019    4.164E+019    0.003963      1437          1578          2.639E+016    8.329E+018    0             0             4.115E+019    4.115E+019    0.007947      1292          2369          1.737E+016    8.23E+018     0             0             5.109E+018    5.109E+018    0             1263          631.6         8.089E+015    0             0             0             8.215E+018    8.215E+018    -0.3417       2.3E+006      1.224E+006    6.711E+012    8.215E+017    0             0             
(54,40)	3.363E+005    16.61         -0.5538       2.018E+006    1.195E+006    0.0002626     1.229E-018    8.403E+019    1.879E+020    -0.3323       1.513E+006    8.684E+005    2.164E+014    0             112.7         1.039E+020    4.262E+019    4.262E+019    0.003722      1611          2057          2.072E+016    8.525E+018    0             0             2.602E+019    2.602E+019    0.007943      1702          3522          7.387E+015    5.204E+018    0             0             2.407E+019    2.407E+019    0             1263          631.6         3.811E+016    0             0             0             2.805E+018    2.805E+018    -0.3417       2.3E+006      1.265E+006    2.217E+012    2.805E+017    0             0             
(16,41)	1.744E+005    6.555         -0.5459       1.903E+006    1.047E+006    0.0002022     1.093E-018    1.127E+020    1.448E+020    -0.3275       1.427E+006    7.708E+005    1.878E+014    0             32.97         3.206E+019    6.312E+018    6.312E+018    0.004047      1383          1397          4.518E+015    1.262E+018    0             0             8.541E+018    8.541E+018    0.007743      1155          1928          4.431E+015    1.708E+018    0             0             7.089E+018    7.089E+018    0             1263          631.6         1.122E+016    0             0             0             7.038E+018    7.038E+018    -0.3417       2.3E+006      1.21E+006     5.818E+012    7.038E+017    0             0             
(54,41)	2.892E+005    16.86         -0.5648       2.151E+006    1.239E+006    0.0002089     1.396E-018    9.516E+019    1.369E+020    -0.3389       1.613E+006    9.045E+005    1.514E+014    0             44.67         4.175E+019    1.627E+019    1.627E+019    0.003816      1540          1874          8.685E+015    3.255E+018    0             0             7.702E+018    7.702E+018    0.008034      1544          3096          2.488E+015    1.54E+018     0             0             2.312E+019    2.312E+019    0             1263          631.6         3.66E+016     0             0             0             2.721E+018    2.721E+018    -0.3417       2.3E+006      1.249E+006    2.179E+012    2.721E+017    0             0             
(16,42)	9.101E+004    3.421         -0.5589       2.085E+006    1.093E+006    0.0002007     1.312E-018    1.223E+020    1.252E+020    -0.3353       1.564E+006    8.123E+005    1.541E+014    0             1.993         2.887E+018    4.607E+017    4.607E+017    0.004193      1300          1031          4.467E+014    9.215E+016    0             0             5.56E+016     5.56E+016     0.007162      960.6         1132          4.911E+013    1.112E+016    0             0             9.005E+018    9.005E+018    0             1263          631.6         1.426E+016    0             0             0             6.038E+018    6.038E+018    -0.3417       2.3E+006      1.181E+006    5.112E+012    6.038E+017    0             0             
(54,42)	1.983E+005    18.07         -0.5807       2.303E+006    1.267E+006    0.0002089     1.601E-018    1.08E+020     1.225E+020    -0.3484       1.727E+006    9.328E+005    1.313E+014    0             15.07         1.454E+019    5.365E+018    5.365E+018    0.004001      1413          1500          3.576E+015    1.073E+018    0             0             7.13E+017     7.13E+017     0.007903      1233          2184          3.264E+014    1.426E+017    0             0             2.245E+019    2.245E+019    0             1263          631.6         3.554E+016    0             0             0             2.65E+018     2.65E+018     -0.3417       2.3E+006      1.218E+006    2.176E+012    2.65E+017     0             0             
