#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_He2+          v*n_He2+          mu_He2+          vth_He2+          v_He2+          n_He2+          sec.em.flux_He2+          EnergySrc_He2+          PartSrc_He2+          phi_He*           v*n_He*           mu_He*           vth_He*           v_He*           n_He*           sec.em.flux_He*           EnergySrc_He*           PartSrc_He*           phi_e*            v*n_e*            mu_e*            vth_e*            v_e*            n_e*            sec.em.flux_e*            EnergySrc_e*            PartSrc_e*            
(16,36)	5.027E+004    1.89          -0.555        1.55E+006     8.031E+005    2.759E-011    7.256E-019    2.511E+012    2.275E+013    -0.333        1.163E+006    5.982E+005    3.803E+007    0             1.702E-005    2.024E+013    7.438E+011    7.438E+011    0.004261      1275          851.6         8.734E+008    1.488E+011    0             0             3.095E+012    3.095E+012    0.007049      913.7         811.2         3.815E+009    6.19E+011     0             0             4.967E+016    4.967E+016    0             1263          631.6         7.864E+013    0             0             0             2.375E+013    2.375E+013    -0.3417       2.3E+006      1.167E+006    2.035E+007    2.375E+012    0             0             
(54,36)	2.388E+004    0.945         -0.5531       1.584E+006    8.054E+005    2.446E-010    7.577E-019    -1.629E+012   1.944E+014    -0.3318       1.188E+006    6.021E+005    3.228E+008    0             0.0002001     1.96E+014     1.157E+012    1.157E+012    0.004315      1266          736.1         1.571E+009    2.313E+011    0             0             3.346E+013    3.346E+013    0.007011      897.9         616.4         5.429E+010    6.693E+012    0             0             4.982E+016    4.982E+016    0             1263          631.6         7.887E+013    0             0             0             2.544E+013    2.544E+013    -0.3417       2.3E+006      1.158E+006    2.197E+007    2.544E+012    0             0             
(16,37)	3.958E+004    1.488         -0.5547       1.557E+006    8.003E+005    2.888E-011    7.314E-019    2.701E+012    2.357E+013    -0.3328       1.168E+006    5.969E+005    3.948E+007    0             1.786E-005    2.087E+013    6.491E+011    6.491E+011    0.004295      1271          805.3         8.061E+008    1.298E+011    0             0             3.034E+012    3.034E+012    0.007014      905.9         730.6         4.153E+009    6.068E+011    0             0             4.784E+016    4.784E+016    0             1263          631.6         7.574E+013    0             0             0             2.255E+013    2.255E+013    -0.3417       2.3E+006      1.164E+006    1.938E+007    2.255E+012    0             0             
(54,37)	2.038E+004    0.8187        -0.5529       1.587E+006    8.046E+005    2.765E-010    7.598E-019    -1.744E+012   2.19E+014     -0.3318       1.19E+006     6.017E+005    3.639E+008    0             0.0002259     2.207E+014    9.485E+011    9.485E+011    0.004318      1265          720.7         1.316E+009    1.897E+011    0             0             3.654E+013    3.654E+013    0.007011      896.6         591.2         6.18E+010     7.307E+012    0             0             4.798E+016    4.798E+016    0             1263          631.6         7.596E+013    0             0             0             2.453E+013    2.453E+013    -0.3417       2.3E+006      1.157E+006    2.12E+007     2.453E+012    0             0             
(16,38)	3.033E+004    1.14          -0.5543       1.563E+006    7.982E+005    2.864E-011    7.371E-019    2.917E+012    2.316E+013    -0.3326       1.172E+006    5.961E+005    3.886E+007    0             1.75E-005     2.025E+013    5.247E+011    5.247E+011    0.004308      1268          764.5         6.864E+008    1.049E+011    0             0             2.773E+012    2.773E+012    0.007011      900.7         663           4.183E+009    5.547E+011    0             0             4.484E+016    4.484E+016    0             1263          631.6         7.1E+013      0             0             0             2.078E+013    2.078E+013    -0.3417       2.3E+006      1.16E+006     1.791E+007    2.078E+012    0             0             
(54,38)	1.806E+004    0.7321        -0.5528       1.588E+006    8.042E+005    3.028E-010    7.615E-019    -1.969E+012   2.392E+014    -0.3317       1.191E+006    6.016E+005    3.976E+008    0             0.0002475     2.412E+014    7.592E+011    7.592E+011    0.004321      1265          710.5         1.069E+009    1.518E+011    0             0             3.915E+013    3.915E+013    0.007003      895.9         574.5         6.815E+010    7.83E+012     0             0             4.497E+016    4.497E+016    0             1263          631.6         7.12E+013     0             0             0             2.295E+013    2.295E+013    -0.3417       2.3E+006      1.156E+006    1.985E+007    2.295E+012    0             0             
(16,39)	2.197E+004    0.8261        -0.554        1.569E+006    7.967E+005    2.655E-011    7.432E-019    3.184E+012    2.128E+013    -0.3324       1.177E+006    5.957E+005    3.572E+007    0             1.562E-005    1.81E+013     3.827E+011    3.827E+011    0.004317      1266          727.7         5.259E+008    7.654E+010    0             0             2.301E+012    2.301E+012    0.007011      897.2         602.7         3.817E+009    4.601E+011    0             0             4.075E+016    4.075E+016    0             1263          631.6         6.451E+013    0             0             0             1.852E+013    1.852E+013    -0.3417       2.3E+006      1.158E+006    1.6E+007      1.852E+012    0             0             
(54,39)	1.652E+004    0.6627        -0.5528       1.59E+006     8.041E+005    3.257E-010    7.63E-019     -2.707E+012   2.569E+014    -0.3317       1.192E+006    6.017E+005    4.269E+008    0             0.0002669     2.596E+014    5.886E+011    5.886E+011    0.004322      1265          703.7         8.364E+008    1.177E+011    0             0             4.163E+013    4.163E+013    0.006993      895.5         563.3         7.392E+010    8.327E+012    0             0             4.087E+016    4.087E+016    0             1263          631.6         6.47E+013     0             0             0             2.079E+013    2.079E+013    -0.3417       2.3E+006      1.156E+006    1.799E+007    2.079E+012    0             0             
(16,40)	1.392E+004    0.5234        -0.5535       1.577E+006    7.963E+005    2.22E-011     7.508E-019    3.554E+012    1.762E+013    -0.3321       1.183E+006    5.961E+005    2.957E+007    0             1.186E-005    1.407E+013    2.335E+011    2.335E+011    0.004325      1264          692.4         3.372E+008    4.669E+010    0             0             1.607E+012    1.607E+012    0.006976      894.8         544.5         2.951E+009    3.214E+011    0             0             3.566E+016    3.566E+016    0             1263          631.6         5.645E+013    0             0             0             1.589E+013    1.589E+013    -0.3417       2.3E+006      1.155E+006    1.376E+007    1.589E+012    0             0             
(54,40)	1.532E+004    0.5903        -0.5527       1.591E+006    8.04E+005     3.435E-010    7.64E-019     -4.199E+012   2.705E+014    -0.3316       1.193E+006    6.017E+005    4.496E+008    0             0.0002831     2.747E+014    4.263E+011    4.263E+011    0.004324      1264          698.5         6.103E+008    8.526E+010    0             0             4.367E+013    4.367E+013    0.006985      895.2         554.6         7.875E+010    8.735E+012    0             0             3.576E+016    3.576E+016    0             1263          631.6         5.662E+013    0             0             0             1.815E+013    1.815E+013    -0.3417       2.3E+006      1.155E+006    1.571E+007    1.815E+012    0             0             
